text,label,length
おい ムロ ちょっと来てくれ！,0,15
何か出てきやがった,0,9
あ…,1,2
なっ なんだ これは…,1,11
ムロ あんたの言ったとおりだ,0,14
ああ… やっぱり この世界は おかしい,1,19
何か秘密が…,1,6
父ちゃん！,0,5
ん？,1,2
見て見て 変な生き物！,0,11
ナ…,1,2
ナツメ！ お前 ここで何やってる？,0,17
え…,1,2
まさか 勝手に ついてきたのか？,1,16
あ…,1,2
えーっと えーっと…,1,10
アハハハ… 勘弁してやれよ ムロ,0,16
お前 ナツメちゃんに,0,10
毎晩 地上の話 聞かせてたんだろ？,0,17
そりゃ 見たくもなるさ,0,11
なあ ナツメちゃん,0,9
うん！,1,3
ったく…,1,4
ん？,1,2
あっ！,1,3
近い ガドルだ！ くっ…,0,12
撤収だ 急げ！ あ…,0,10
ついてねえな,0,6
チッ… トリピアスか,0,10
ムロ！ 追いつかれるぞ！,0,12
ナツメ しっかりつかまってろよ！,0,16
うん！,1,3
あっ！,1,3
ギアたちだ！,1,6
ヒャッホ 助かったぜ,0,10
逃げきれるぞ,1,6
ああっ！,1,4
ん…,1,2
うおお！,1,4
ギャー！,1,4
クソ！ イワンがやられた！,0,13
娘を頼む！ 出血が多い,0,11
はい！ あ…,2,6
もう ここもダメだ,1,9
ハッ！ ナツメ！ 分かるか？,0,14
うん…,1,3
しっかりしろよ デカダンスに戻るからな,0,19
ナツメ 父ちゃん すぐ帰ってくるからな,0,19
待ってろよ,0,5
うん,1,2
出してくれ！ 急げ！,0,10
はい！,2,3
はるかな昔,1,5
人類は 突如として現れた 未知の生物―,2,19
ガドルの脅威にさらされ,2,11
世界人口の９割以上が 失われるに至りました,2,21
未曽有の事態に,2,7
対ガドル戦闘集団“かの力”に 所属する戦士 ギアは,2,25
その英知を結集させ,2,9
移動要塞デカダンスを 完成させました,2,18
ガドル体内に流れる エネルギー,2,15
オキソンを活用した移動要塞は まさに 最後のとりで,2,25
僅かに生き残った人類は,2,11
居住空間として オキソン 貯蔵用タンクを提供されました,2,27
