text,label
おい ムロ ちょっと来てくれ！,
何か出てきやがった,
あ…,
なっ なんだ これは…,1
ムロ あんたの言ったとおりだ,
ああ… やっぱり この世界は おかしい,
何か秘密が…,
父ちゃん！,
ん？,
見て見て 変な生き物！,0
ナ…,
ナツメ！ お前 ここで何やってる？,0
え…,
まさか 勝手に ついてきたのか？,1
あ…,
えーっと えーっと…,1
アハハハ… 勘弁してやれよ ムロ,0
お前 ナツメちゃんに,0
毎晩 地上の話 聞かせてたんだろ？,
そりゃ 見たくもなるさ,0
なあ ナツメちゃん,
うん！,
ったく…,
ん？,
あっ！,
近い ガドルだ！ くっ…,
撤収だ 急げ！ あ…,
ついてねえな,
チッ… トリピアスか,
ムロ！ 追いつかれるぞ！,
ナツメ しっかりつかまってろよ！,
うん！,
あっ！,
ギアたちだ！,
ヒャッホ 助かったぜ,0
逃げきれるぞ,
ああっ！,
ん…,
うおお！,
ギャー！,
クソ！ イワンがやられた！,
娘を頼む！ 出血が多い,
はい！ あ…,
もう ここもダメだ,
ハッ！ ナツメ！ 分かるか？,
うん…,
しっかりしろよ デカダンスに戻るからな,
ナツメ 父ちゃん すぐ帰ってくるからな,
待ってろよ,
うん,1
出してくれ！ 急げ！,
はい！,
はるかな昔,
人類は 突如として現れた 未知の生物―,
ガドルの脅威にさらされ,
世界人口の９割以上が 失われるに至りました,
未曽有の事態に,
対ガドル戦闘集団“かの力”に 所属する戦士 ギアは,
その英知を結集させ,
移動要塞デカダンスを 完成させました,
ガドル体内に流れる エネルギー,
オキソンを活用した移動要塞は まさに 最後のとりで,
僅かに生き残った人類は,
居住空間として オキソン 貯蔵用タンクを提供されました,
そしてここが,
人類の新たな世界と なったのです,2
以来 数百年,
私たちタンカーは ギアのひごの元,
平和に暮らしてきました,
タンカーの役目は,
ギアたちが戦いに 集中できるよう,
彼らのサポートを することです,2
ギアが戦ったあとは,
私たちが ガドルの肉を解体し,
装甲が損傷すれば 私たちが直す,
そのようにして ギアに尽くすことが,
タンカーの生き方です,2
すばらしい式辞だった,
君たちは今日 この院を出るが,
タンカーの精神を忘れず 仕事に励んでくれ,
では リンメイ 解体工,
やった！,
おお,
さすが リンメイ,
さすが リンメイ,
マルコ 武器工,
マルコ 武器工,
マルコ 武器工,
おめでとう,
マルコ 武器工,
マルコ 武器工,
あ… ニヒッ！,
あ… ニヒッ！,
あ… ニヒッ！,
はい！,
あ… ニヒッ！,
ペス 染色工,
はい！,
入隊拒否？,
どういうことですか！,2
かの力に入れないなんて 聞いたことないですよ！,2
拒否ではない,
入隊許可通知が 届かなかっただけだ,
同じことじゃないですか…,2
理由は 言わずとも 分かるだろう？,
理由は 言わずとも 分かるだろう？,
フフッ…,
理由は 言わずとも 分かるだろう？,
心身共に健康であること,
それが かの力 入隊に必要なことだ,
ん…,
戦士は諦めて 他の仕事に就きなさい,
ああ,1
へい らっしゃい,
５つでだな,0
たけえよ にしろよ,
ハァ…,
ねえ 元気出しな きっとまたチャンスあるって,
うん…,
いただきます,2
ひいっ！,
うあああ！,
あっ ごめん それ 嫌いだったっけ？,
ハハハ…,
励ましてあげようと思って,
